stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-8593750.0,0,0,0.0,0.0
pre-PA,-8593750.0,1,0,-20.207163278714468,-13.782704334714959
pre-PA,-8593750.0,0,1,-13.119591999917983,125.3234354191129
pre-PA,-8593750.0,1,1,0.0,0.0
pre-PA,-8554687.5,0,0,0.0,0.0
pre-PA,-8554687.5,1,0,-20.20603093111373,-13.884804829164894
pre-PA,-8554687.5,0,1,-13.114916223132143,124.8914098307279
pre-PA,-8554687.5,1,1,0.0,0.0
pre-PA,-8515625.0,0,0,0.0,0.0
pre-PA,-8515625.0,1,0,-20.20488724507098,-13.986816624687107
pre-PA,-8515625.0,0,1,-13.11027081753394,124.4593330145488
pre-PA,-8515625.0,1,1,0.0,0.0
pre-PA,-8476562.5,0,0,0.0,0.0
pre-PA,-8476562.5,1,0,-20.20373217849608,-14.088740621466037
pre-PA,-8476562.5,0,1,-13.105655779520768,124.02720533669144
pre-PA,-8476562.5,1,1,0.0,0.0
pre-PA,-8437500.0,0,0,0.0,0.0
pre-PA,-8437500.0,1,0,-20.20256568986443,-14.190577721555128
pre-PA,-8437500.0,0,1,-13.101071105498205,123.5950271626668
pre-PA,-8437500.0,1,1,0.0,0.0
pre-PA,-8398437.5,0,0,0.0,0.0
pre-PA,-8398437.5,1,0,-20.201387738220262,-14.292328828850764
pre-PA,-8398437.5,0,1,-13.096516791880283,123.16279885738545
pre-PA,-8398437.5,1,1,0.0,0.0
pre-PA,-8359375.0,0,0,0.0,0.0
pre-PA,-8359375.0,1,0,-20.200198283179894,-14.393994849066244
pre-PA,-8359375.0,0,1,-13.09199283508975,122.73052078516193
pre-PA,-8359375.0,1,1,0.0,0.0
pre-PA,-8320312.5,0,0,0.0,0.0
pre-PA,-8320312.5,1,0,-20.198997284934915,-14.495576689705285
pre-PA,-8320312.5,0,1,-13.087499231558335,122.2981933097192
pre-PA,-8320312.5,1,1,0.0,0.0
pre-PA,-8281250.0,0,0,0.0,0.0
pre-PA,-8281250.0,1,0,-20.19778470425536,-14.597075260035506
pre-PA,-8281250.0,0,1,-13.08303597772699,121.8658167941929
pre-PA,-8281250.0,1,1,0.0,0.0
pre-PA,-8242187.5,0,0,0.0,0.0
